#id,type,P,uA,u0,uT,gA,g0,gT,rA,r0,rT,iA,i0,iT,zA,z0,zT
1420164,ab,0.655639046387,1.130336589439,14.778040162076,108,1.001214697785,13.766798868087,101,0.836033276756,13.702135312817,107,0.676388169755,13.746515050102,116,0.56151039481,13.837378125745,112
1421011,ab,0.602795918944,0.787165464597,19.1178035356,103,0.760700177233,17.917417784777,115,0.534283950148,17.887327267592,105,0.415794498459,17.882879049211,107,0.371666616086,17.907099807127,111
1438472,ab,0.583339323964,0.764134717741,14.532856919131,101,0.912612357277,13.236586193405,112,0.59422555906,13.240413685163,106,0.466027106531,13.309838263485,101,0.405814152746,13.359000955188,100
1452363,ab,0.459303362229,0.741861355148,14.900230152809,102,0.721307826717,13.82035715835,100,0.549108510314,13.877887384304,101,0.42921264769,13.938645495796,100,0.42267175589,13.936271233763,101
1463748,ab,0.567901498598,0.85824219293,17.182667275908,100,0.905588489872,15.930637387144,102,0.685753051854,15.96077808519,107,0.514865484883,16.0334720279,105,0.428183171944,16.092348523923,101
1464306,ab,0.603992646399,0.781451520465,19.926143137356,109,0.911153524063,18.765180006391,117,0.652765039664,18.792644293325,113,0.516794030046,18.833479585516,107,0.477026361653,18.870271630318,104
1469157,ab,0.495867899144,1.390828706834,19.293211070068,105,1.384300440259,18.139804085456,120,1.015064800204,18.307280500313,116,0.835692711975,18.442244829868,113,0.673033675077,18.576165269956,117
1477740,c,0.297828481904,0.315187160859,18.953484897166,0,0.306151951632,17.778696373932,0,0.224349170815,17.846515688005,0,0.164865009107,17.930920695195,1,0.162507738961,17.992084468678,0
1478867,c,0.336589855659,0.461437029649,17.782150076665,0,0.522137124663,16.593369633903,0,0.36703551627,16.653938201158,0,0.275963791404,16.72764507065,0,0.25283261225,16.781597188717,0
1482164,c,0.395282732336,0.472320975685,17.258595227029,0,0.561443106828,16.118681651984,0,0.405237449206,16.136440451053,0,0.304029282508,16.186273088516,0,0.25344887826,16.226324996215,0
1486075,ab,0.585401410807,0.761777710176,19.235465294722,105,0.744700676465,18.164302656192,105,0.539622424972,18.192283403711,105,0.412789744501,18.221876560844,106,0.364722489928,18.253091805684,106
1493454,ab,0.561335434998,1.150254323353,19.794979223843,106,1.194868778771,18.557395707946,119,0.878635278026,18.659846800734,114,0.700083229182,18.730335124984,117,0.635911636703,18.778650383832,114
1494655,ab,0.467452477545,1.481494333256,18.581843316995,109,1.502105373006,17.370830287325,119,1.151316604903,17.584552561071,118,0.868499727551,17.749666570378,115,0.840180610728,17.838888280821,117
1496687,c,0.301655136155,0.50001713314,17.255694081375,0,0.562695653019,15.988769601357,0,0.395341752895,16.049572674349,0,0.310042023402,16.128553525749,0,0.268711887951,16.194449002021,0
1500601,ab,0.502025921903,1.378829719631,18.145056755528,110,1.397512026057,16.939724934243,120,1.047612005386,17.120015030491,118,0.802123524002,17.250173724807,115,0.729672500343,17.341321724807,117
1503067,ab,0.658608658239,0.87505739675,19.932391780497,100,0.874536816249,18.82627978402,101,0.644008284056,18.809989719413,103,0.493355522019,18.871390075248,104,0.466328634682,18.854587933599,101
1516296,c,0.350514843873,0.461521517792,16.925756640131,0,0.498574537986,15.766522093779,0,0.390737916398,15.742626336423,0,0.278836645564,15.783117728673,1,0.236462775709,15.83716683336,0
1521737,ab,0.47387337598,1.159794991277,14.258178681561,104,1.022084444914,13.208234157222,101,0.737958377986,13.256433496911,102,0.578018950193,13.353407381153,101,0.643655861569,13.328595883437,104
1529930,ab,0.636128907018,1.150493060212,19.028853146775,107,1.248933179782,17.807037726732,111,0.926123361425,17.830242979873,117,0.761516477952,17.916993162443,118,0.713308910514,17.931820503738,116
1532452,ab,0.571405302275,1.078867206401,17.413996456893,103,1.082912746557,16.197494785388,120,0.802807107179,16.27879997995,112,0.651733090935,16.319688330062,119,0.569952533419,16.39734780657,113
1561045,ab,0.495828518832,1.320636866892,15.863135579092,109,1.433686884425,14.625915067198,116,1.076780671864,14.822736624812,118,0.864837319419,14.964506948877,117,0.715826582597,15.073803067323,113
1563844,ab,0.622012236142,0.898060262689,17.598112109076,102,1.03880017884,16.352096454418,108,0.734919688786,16.360492106267,110,0.531894617581,16.447044879718,105,0.521490040709,16.455791446079,107
1565124,ab,0.503096383566,1.247302717733,18.215402251717,110,1.296108066991,17.034012191036,117,0.958945726076,17.171574792054,111,0.764729287145,17.266302645149,115,0.69699751201,17.365359485199,116
1568441,ab,0.530162470069,0.784896685394,15.190910714533,107,0.844795369009,13.960764969399,114,0.67810516604,13.969105601967,109,0.492570170717,14.101303599524,108,0.497010212766,14.115774926336,105
1594723,ab,0.639304964829,1.019436789413,17.898845777219,110,1.074421122371,16.742185433968,108,0.773503296765,16.802393433612,107,0.608662463155,16.880842552736,109,0.528940609008,16.922437965577,111
1604251,ab,0.630371258496,1.082604332214,18.404192204944,109,1.019021172859,17.389512600277,103,0.705324431026,17.48942428164,100,0.607132937175,17.510823782838,105,0.612101112629,17.482647868963,108
1604541,ab,0.722990487911,0.703703157101,18.487824392602,101,0.717179344888,17.335451567866,104,0.502897079996,17.286562234813,104,0.390619716129,17.295699146873,104,0.37475319981,17.292441131563,100
1628736,ab,0.646565277081,0.629723533953,18.925154453221,102,0.632104127808,17.721894374569,101,0.421946264018,17.663602889235,102,0.324367801324,17.653066850764,101,0.304161180641,17.646669112709,101
1634879,ab,0.515439109508,1.302692414646,18.608474529014,110,1.392149308006,17.345954220401,116,1.017186779932,17.528499592333,118,0.842141788312,17.644269993815,117,0.731229758538,17.733216018568,117
1635700,ab,0.595181936838,0.726423541051,16.917177530808,100,0.829216042977,15.749111670161,111,0.615210275956,15.796615109056,109,0.482964800675,15.852327975388,107,0.433922563696,15.871008456187,114
1640797,ab,0.563838556987,1.035878185518,17.745962545013,110,1.087358330134,16.57453154438,115,0.768959843247,16.643999347929,113,0.575837493544,16.770207180368,110,0.538428839653,16.791881795908,110
1646523,ab,0.637431229204,0.57805611259,18.080126611093,100,0.612317246626,16.959175239657,101,0.465402755549,16.872095220636,105,0.37743535692,16.865102289013,102,0.318659026457,16.866201003547,101
1651620,ab,0.552132918074,1.254541325285,18.469565619827,110,1.248416671157,17.324878987435,113,0.943007382492,17.455590577118,115,0.759990585087,17.554049995706,119,0.675439771303,17.630015634784,108
1652999,ab,0.597904834739,0.878308533765,21.291824906782,108,0.969039683694,20.203764747236,106,0.699328946698,20.163359048897,117,0.520169502478,20.242159137739,118,0.373292810437,20.218774224097,109
1660792,ab,0.557696402635,1.076129636591,17.923589161912,110,1.128507757207,16.714997993365,120,0.817304504585,16.818970924356,114,0.654234300211,16.911432393654,114,0.603195993021,16.932619595098,108
1661779,ab,0.676667983826,0.8568635366,17.628341779911,104,0.938134176879,16.466720563977,111,0.659873232363,16.487976144258,113,0.53304556557,16.552648080079,111,0.484400386163,16.581235397676,106
1671222,ab,0.604475547035,0.532806589505,18.622051075106,100,0.693232684322,17.317442968453,113,0.476862545722,17.351468060271,104,0.333552532984,17.395167630676,101,0.289472047502,17.414251818802,111
1689801,ab,0.594115789073,0.797190312549,18.694412992539,100,0.903666263836,17.481393469675,108,0.626123793758,17.503203177496,108,0.453731871863,17.541203294212,110,0.430878076982,17.562497501031,107
1709732,ab,0.649984725123,0.344193065089,18.640441697641,102,0.332490396339,17.496848831623,102,0.240621984598,17.356122239145,100,0.189599221506,17.301215396317,100,0.183119048047,17.318234585184,100
1728462,c,0.33968397432,0.549490180817,18.829551849648,0,0.642337971124,17.639979677635,1,0.439943689355,17.755623405799,1,0.341788490626,17.862475079148,1,0.284696911206,17.932148029363,0
1729301,ab,0.513424783059,1.329417562922,17.121068402823,109,1.354823810913,15.912003263907,120,1.019074813623,16.104245295399,117,0.823208061716,16.211592923508,113,0.702083316421,16.285133661818,117
1736120,ab,0.622183404823,0.628052552556,18.432296133137,102,0.644918859014,17.234718438269,104,0.456213481228,17.152078489557,104,0.395771048561,17.152998875849,101,0.341731580079,17.156351047889,100
1747387,c,0.348105290228,0.26587291232,17.542641764578,0,0.324916744485,16.408250210839,0,0.235635403759,16.479310798514,1,0.181320628993,16.568098091016,0,0.151981451984,16.633476950473,0
1757431,c,0.254145925236,0.267728154422,15.9007578618,0,0.30358941436,14.684182563903,0,0.214493475074,14.771346886215,0,0.169521097386,14.860019998171,1,0.150114966309,14.955376233445,0
1777602,ab,0.491285132825,1.085163559199,18.13033152704,106,1.085367193898,16.956536619467,102,0.803610707339,17.057209164229,103,0.625713678506,17.121470643605,110,0.539003485219,17.159462094208,113
1777709,ab,0.537072218816,0.989306285266,18.240013215821,110,1.101646308735,17.005155233828,119,0.834923391986,17.089463567652,118,0.653943063622,17.190068138062,119,0.596651291815,17.254925494425,116
1780197,ab,0.471223176647,1.51464635993,17.83082794001,110,1.496354182104,16.61617763642,120,1.097410986834,16.820182932815,119,0.84603872251,16.966785057632,115,0.829325282903,17.080008308117,110
1781006,ab,0.810903565038,1.250351317324,17.363472452052,110,1.325769170248,16.220133427709,119,1.013367813699,16.421858757941,118,0.824751046148,16.572073175693,117,0.717704434228,16.661172777267,117
1784813,ab,0.591316315026,0.771321366487,17.384208905716,101,0.818044279628,16.179410668271,106,0.573454331018,16.149285938199,105,0.445610608603,16.171356354159,106,0.382229730699,16.226057484329,100
1794923,ab,0.519668054603,1.208571247136,18.054543854043,110,1.274852856678,16.873402715892,116,0.937785745839,17.012422067479,117,0.756949415606,17.115672141593,119,0.666950971443,17.200017800361,116
1799963,c,0.344819485045,0.42758882427,18.178229185983,0,0.500789248807,16.966981525944,0,0.34650981859,17.003056624116,0,0.271494757996,17.043796668077,1,0.242324087119,17.110369300586,0
1806461,ab,0.475384338501,1.507067604855,15.658227187953,110,1.471400265627,14.470011442223,119,1.095932234817,14.700160766819,118,0.890529869152,14.85466457671,117,0.781751921982,14.94267405412,117
1812388,c,0.348913305303,0.476515163939,17.708059755537,0,0.522630001618,16.560567248332,0,0.367112989366,16.577190665795,0,0.285865348413,16.631910961872,0,0.251685532551,16.684931909947,0
1816764,ab,0.5190620232,1.020602939599,16.940883270968,100,0.958998639554,15.874042799228,100,0.673374252533,15.935306562153,102,0.513576366531,16.011402478858,100,0.504115679701,16.020316329201,102
1829974,ab,0.498811723395,1.397670053957,20.596386458701,105,1.476524288923,19.499164809564,120,1.131344658095,19.662269004271,116,0.931166574741,19.84436440473,117,0.643689158864,20.006775047662,113
1830137,ab,0.616433178532,0.748803329211,15.069611985156,101,0.787138557404,13.907154333298,106,0.562504499492,13.881718994691,107,0.44472866527,13.92475851642,108,0.397525673312,13.969614099065,105
1833923,ab,0.675836226434,0.521103994421,18.713759890155,100,0.547225605497,17.578912631758,101,0.374358213094,17.465754358016,101,0.316314377445,17.443859820956,102,0.297061366545,17.450681312655,100
1835117,ab,0.622160962207,0.967199151007,17.375033333584,104,1.012683583499,16.19860099972,108,0.722390540072,16.215185260701,110,0.571853639792,16.28700187816,109,0.516487351681,16.322108502936,104
1836599,c,0.338629884738,0.438593387596,17.175375360487,0,0.47470957256,15.988498387246,0,0.332982649516,15.996712360299,0,0.259861361749,16.033877016691,1,0.22273254403,16.089511642886,0
